SAUID,system,dia_mm,year,length_m
22515,雨水,400.0,,14.310770384575848
22516,雨水,800.0,,17.347699703420595
22517,雨水,1350.0,,18.969351702144486
22518,雨水,1350.0,,46.184808064995124
22519,汚水,150.0,,21.123865105609266
22520,汚水,250.0,,7.630562888807836
22521,汚水,150.0,2021.0,8.420191506136847
22522,汚水,150.0,2021.0,8.604964264887878
22523,汚水,150.0,2021.0,34.61224617096603
22524,汚水,150.0,2021.0,8.091043505013994
22525,汚水,150.0,2022.0,15.397394747158186
22526,汚水,150.0,2022.0,20.207727655526803
22527,汚水,150.0,2022.0,6.254017029080023
22528,汚水,150.0,2022.0,49.31543340577034
22529,汚水,150.0,2022.0,21.23953580000831
22530,汚水,150.0,2022.0,13.314584672455837
22531,汚水,200.0,1993.0,25.343051315891895
22532,汚水,150.0,,10.042697097889187
22533,汚水,150.0,,23.45419674599801
22534,汚水,150.0,,22.801928186008837
22535,汚水,150.0,,8.099585421495023
22536,汚水,150.0,,47.69053773023961
22537,汚水,150.0,,2.645880004841091
22538,汚水,150.0,,22.635197237927503
22539,汚水,150.0,,12.17813208172289
22540,汚水,150.0,,4.811006755348604
22541,汚水,150.0,,2.599047902605544
22542,汚水,150.0,,12.266361522474268
22543,汚水,150.0,,10.347108050078608
22544,汚水,150.0,,11.62115011520136
22545,汚水,150.0,,22.868369815095395
22546,汚水,150.0,,15.22937375599953
22547,汚水,150.0,,16.2578161202519
22548,汚水,150.0,,19.12504339864183
22549,汚水,150.0,,26.185331561769893
22550,汚水,150.0,,3.735638365798626
22551,汚水,150.0,,3.636826088773749
22552,汚水,150.0,,23.44295860167734
22553,汚水,150.0,,13.97814111389762
22554,汚水,150.0,,41.65470232758532
22555,汚水,150.0,,13.782454824876151
22556,汚水,150.0,,19.697856583901398
22557,汚水,150.0,,20.477304436865754
